confirmed,deaths,deaths_comorbid,teryt_id,date,NUTS2,region
1101,28,24,t04,2020-12-09,PL61,Kujawsko-Pomorskie
728,37,27,t06,2020-12-09,PL81,Lubelskie
349,16,10,t08,2020-12-09,PL43,Lubuskie
821,64,59,t10,2020-12-09,PL71,Łódzkie
564,40,24,t12,2020-12-09,PL21,Małopolskie
1496,41,36,t14,2020-12-09,PL9,Mazowieckie
224,19,19,t16,2020-12-09,PL52,Opolskie
253,33,26,t18,2020-12-09,PL82,Podkarpackie
360,12,2,t20,2020-12-09,PL84,Podlaskie
933,33,27,t22,2020-12-09,PL63,Pomorskie
1465,64,61,t24,2020-12-09,PL22,Śląskie
178,18,14,t26,2020-12-09,PL72,Świętokrzyskie
651,21,16,t28,2020-12-09,PL62,Warmińsko-Mazurskie
1213,57,24,t30,2020-12-09,PL41,Wielkopolskie
932,35,31,t32,2020-12-09,PL42,Zachodniopomorskie
566,37,30,t02,2020-12-08,PL51,Dolnośląskie
690,19,12,t04,2020-12-08,PL61,Kujawsko-Pomorskie
416,17,12,t06,2020-12-08,PL81,Lubelskie
174,15,13,t08,2020-12-08,PL43,Lubuskie
563,35,24,t10,2020-12-08,PL71,Łódzkie
1072,50,32,t12,2020-12-08,PL21,Małopolskie
960,38,20,t14,2020-12-08,PL9,Mazowieckie
140,18,16,t16,2020-12-08,PL52,Opolskie
204,21,16,t18,2020-12-08,PL82,Podkarpackie
193,2,2,t20,2020-12-08,PL84,Podlaskie
515,23,19,t22,2020-12-08,PL63,Pomorskie
852,64,58,t24,2020-12-08,PL22,Śląskie
182,8,8,t26,2020-12-08,PL72,Świętokrzyskie
528,27,27,t28,2020-12-08,PL62,Warmińsko-Mazurskie
580,21,14,t30,2020-12-08,PL41,Wielkopolskie
486,16,14,t32,2020-12-08,PL42,Zachodniopomorskie
287,2,1,t02,2020-12-07,PL51,Dolnośląskie
351,6,5,t04,2020-12-07,PL61,Kujawsko-Pomorskie
177,7,4,t06,2020-12-07,PL81,Lubelskie
163,0,0,t08,2020-12-07,PL43,Lubuskie
238,8,7,t10,2020-12-07,PL71,Łódzkie
214,0,0,t12,2020-12-07,PL21,Małopolskie
609,18,17,t14,2020-12-07,PL9,Mazowieckie
195,1,1,t16,2020-12-07,PL52,Opolskie
155,3,3,t18,2020-12-07,PL82,Podkarpackie
155,5,5,t20,2020-12-07,PL84,Podlaskie
335,7,7,t22,2020-12-07,PL63,Pomorskie
265,10,9,t24,2020-12-07,PL22,Śląskie
69,7,5,t26,2020-12-07,PL72,Świętokrzyskie
217,4,4,t28,2020-12-07,PL62,Warmińsko-Mazurskie
424,13,13,t30,2020-12-07,PL41,Wielkopolskie
529,1,1,t32,2020-12-07,PL42,Zachodniopomorskie
476,8,7,t02,2020-12-06,PL51,Dolnośląskie
718,11,8,t04,2020-12-06,PL61,Kujawsko-Pomorskie
353,15,12,t06,2020-12-06,PL81,Lubelskie
325,0,0,t08,2020-12-06,PL43,Lubuskie
